29,2,"Calumet City, IL",41.601,-87.559,1 3 2013 4:30AM,1 3 2013 5:30AM
30,1,"Homer, MN",44.021,-91.557,1 3 2013 1:33PM,1 3 2013 5:00PM
30,2,"Calumet City, IL",41.601,-87.559,1 4 2013 6:00AM,1 4 2013 8:00AM
31,1,"Homer, MN",44.021,-91.557,1 3 2013 3:00PM,1 3 2013 5:00PM
31,2,"Calumet City, IL",41.601,-87.559,1 4 2013 5:45AM,1 4 2013 8:00AM
32,1,"Homer, MN",44.021,-91.557,1 3 2013 11:00AM,1 3 2013 2:00PM
32,2,"Calumet City, IL",41.601,-87.559,1 4 2013 4:30AM,1 4 2013 5:33AM
33,1,"Mirando City, TX",27.44,-99.001,1 10 2013 12:30PM,1 10 2013 4:40PM
33,2,"McCook, IL",41.798,-87.845,1 14 2013 6:00AM,1 14 2013 7:00AM
34,1,"Mirando City, TX",27.44,-99.001,1 11 2013 11:00AM,1 11 2013 6:30PM
34,2,"Chicago, IL",41.874,-87.651,1 14 2013 6:20AM,1 14 2013 8:45AM
35,1,"Mirando City, TX",27.44,-99.001,1 11 2013 12:38PM,1 11 2013 2:50PM
35,2,"Chicago, IL",41.874,-87.651,1 14 2013 10:00AM,1 14 2013 12:00PM
36,1,"Mirando City, TX",27.44,-99.001,1 10 2013 1:00PM,1 10 2013 3:00PM
36,2,"Chicago, IL",41.874,-87.651,1 14 2013 9:00AM,1 14 2013 10:00AM
37,1,"Mirando City, TX",27.44,-99.001,1 11 2013 4:00PM,1 11 2013 5:20PM
37,2,"Chicago, IL",41.874,-87.651,1 14 2013 3:00PM,1 14 2013 3:45PM
38,1,"Mirando City, TX",27.44,-99.001,1 24 2013 1:10PM,1 24 2013 4:20PM
38,2,"Glenview, IL",42.106,-87.799,1 28 2013 12:00PM,1 28 2013 1:30PM
39,1,"Mirando City, TX",27.44,-99.001,1 15 2013 2:00PM,1 15 2013 4:02PM
39,2,"Villa Park, IL",41.915,-87.979,1 17 2013 1:51PM,1 17 2013 2:58PM
40,1,"Mirando City, TX",27.44,-99.001,1 10 2013 8:21AM,1 10 2013 9:00AM
40,2,"Villa Park, IL",41.915,-87.979,1 14 2013 6:00AM,1 14 2013 7:00AM
41,1,"Mirando City, TX",27.44,-99.001,1 14 2013 4:00PM,1 14 2013 6:00PM
41,2,"Villa Park, IL",41.915,-87.979,1 18 2013 5:48AM,1 18 2013 8:54AM
